late_fraction,construct,stressor,dose_mM,naive_fold,fold,low,high,n_plates,estimable
0.9,NativeYap1,H2O2,0.5,1.7080734753804383,1.2733789144885859,0.8887823274845238,1.8508391842774323,4,True
0.9,NativeYap1,H2O2,1.0,1.6124588892557197,1.3443366167178035,0.7888274361625135,2.1042711777291525,4,True
0.9,NativeYap1,H2O2,2.0,-0.20129097843464563,0.06179546612114669,,,4,False
0.9,NativeYap1,H2O2,4.0,-0.2373463711387243,0.01591581992334901,,,4,False
0.9,UPRE1,DTT,0.1,1.0601113319718403,1.0309918726442062,0.9491354766608928,1.127149048270389,4,True
0.9,UPRE1,DTT,0.2,1.1574140721385042,1.1650431086954998,1.0768775220887967,1.2479974222541486,4,True
0.9,UPRE1,DTT,0.5,1.397744720548975,1.3535732677634378,1.1687842837984028,1.585409883129161,4,True
0.9,UPRE1,DTT,1.0,1.8040682968008799,1.3847292854171074,1.1469786684277452,1.6216862971547965,4,True
0.9,UPRE1,DTT,2.0,1.9910903470803902,0.9368085445556225,0.7624990819056171,1.1458780336025365,4,True
0.9,UPRE1,DTT,5.0,1.7402024516026806,0.8145168115125576,0.6420281580513902,1.013626321550255,4,True
0.9,UPRE2,DTT,0.1,1.0731576984187206,1.0533150465946706,0.9743939446627666,1.1487007913519356,4,True
0.9,UPRE2,DTT,0.2,1.154914889567417,1.1589746870603943,1.046267405015222,1.2644397452609422,4,True
0.9,UPRE2,DTT,0.5,1.4234463368181334,1.4374232368221602,1.1434296628212743,1.7192741354722245,4,True
0.9,UPRE2,DTT,1.0,1.9015798386822267,1.5420004151135913,1.1935951819938877,1.9093701095287205,4,True
0.9,UPRE2,DTT,2.0,2.1649564040536107,0.9176716307422936,0.7360040742314001,1.250644785899716,4,True
0.9,UPRE2,DTT,5.0,1.9990553769414428,0.9320025923854943,0.7729835208594181,1.1223616360149813,4,True
