experiment,plate,truncation,n_timepoints,run_hours,activity_window_h,late_window_start_h,strain,strain_source,well_columns,galactose_percent,n_wells,naive_rfu_per_od,corrected_activity,mu_late
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,Control,notebook,4-6,1.8,3,185.10266423727106,21.450374653913695,0.05970378785875254
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-Gal,notebook,7-9,0.0,3,3211.0936979267335,-127.2100651505835,0.003415077868069414
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-Gal,notebook,7-9,0.3,3,2580.698033426403,-55.23752654771733,0.003138734544212468
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-Gal,notebook,7-9,0.6,3,2468.427070696553,-8.990235678550176,0.006317213021896945
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-Gal,notebook,7-9,0.9,3,2326.60959567381,39.45300869652967,0.01406301429878058
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-Gal,notebook,7-9,1.2,3,2095.406190295542,67.51093440071868,0.022016242011065525
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-Gal,notebook,7-9,1.5,3,1674.5518829149023,115.14175381644172,0.040669748656707014
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-Gal,notebook,7-9,1.8,3,1867.4770611379452,218.3009659545212,0.05288978869594111
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-LacI,notebook,10-12,0.0,3,3698.074256720589,-184.32773460319711,0.0020049472715377476
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-LacI,notebook,10-12,0.3,3,2623.8536421130243,-60.50899786157618,0.003603761628282487
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,No-LacI,notebook,10-12,0.6,3,2211.463296861902,-11.776971088201075,0.008058847728711675
