check,expected,actual,status,detail
number claimed in docs/ARCHITECTURE.md:866 = 0.5801 (outputs/gem_environment_scores.csv[corr_with_log_content]),0.5801,0.5801,PASS,outputs/gem_environment_scores.csv[corr_with_log_content] where law=z empirical (tolerance 5e-05)
number claimed in docs/ARCHITECTURE.md:895 = 1.2362 (outputs/gem_environment_predictions.csv[ratio_low]),1.2362,1.2362,PASS,outputs/gem_environment_predictions.csv[ratio_low] where product=beta_carotene; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in docs/ARCHITECTURE.md:895 = 1.9505 (outputs/gem_environment_predictions.csv[ratio_high]),1.9505,1.9505,PASS,outputs/gem_environment_predictions.csv[ratio_high] where product=beta_carotene; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in docs/DATA_INVENTORY.md:232 = 0.92 (outputs/autofluorescence_sensitivity.csv[fold]),0.92,0.917889,PASS,outputs/autofluorescence_sensitivity.csv[fold] where construct=NativeYap1; stressor=H2O2; dose_mM=0.1; autofluorescence_fraction=0.0 (tolerance 0.005)
number claimed in docs/DATA_INVENTORY.md:233 = 1.01 (outputs/autofluorescence_sensitivity.csv[fold]),1.01,1.01484,PASS,outputs/autofluorescence_sensitivity.csv[fold] where construct=AlteredYap1; stressor=H2O2; dose_mM=0.1; autofluorescence_fraction=0.0 (tolerance 0.005)
number claimed in docs/DATA_INVENTORY.md:234 = 1.00 (outputs/autofluorescence_sensitivity.csv[fold]),1.00,0.999732,PASS,outputs/autofluorescence_sensitivity.csv[fold] where construct=AlteredYap1; stressor=H2O2; dose_mM=1.0; autofluorescence_fraction=0.0 (tolerance 0.005)
number claimed in docs/DATA_INVENTORY.md:235 = 1.06 (outputs/autofluorescence_sensitivity.csv[fold]),1.06,1.05824,PASS,outputs/autofluorescence_sensitivity.csv[fold] where construct=UPRE1; stressor=DTT; dose_mM=2.0; autofluorescence_fraction=0.0 (tolerance 0.005)
number claimed in docs/DATA_INVENTORY.md:236 = 0.93 (outputs/autofluorescence_sensitivity.csv[fold]),0.93,0.933646,PASS,outputs/autofluorescence_sensitivity.csv[fold] where construct=UPRE1; stressor=DTT; dose_mM=5.0; autofluorescence_fraction=0.0 (tolerance 0.005)
number claimed in docs/DATA_INVENTORY.md:237 = 1.06 (outputs/autofluorescence_sensitivity.csv[fold]),1.06,1.06234,PASS,outputs/autofluorescence_sensitivity.csv[fold] where construct=UPRE2; stressor=DTT; dose_mM=5.0; autofluorescence_fraction=0.0 (tolerance 0.005)
number claimed in docs/EXTERNAL_PRODUCT_VALIDATION.md:136 = 6.2309 (outputs/phb_environment_score.csv[q_span_over_all_states]),6.2309,6.2309,PASS,outputs/phb_environment_score.csv[q_span_over_all_states] where state_id=glc_D005 (tolerance 5e-05)
