construct	stressor	dose_mM	replicate	od600_mean	od600_half_sd	rfu_mean	rfu_half_sd	per_cell	per_cell_half_sd
UPRE2	H2O2	0.2	2	0.3933333333333333	0.007306770072260997	2101.3333333333335	40.400082508166626	5342.3322879566995	23.773003176176225
UPRE2	H2O2	0.5	2	0.304	0.03330748998181766	1536.6666666666667	165.50948277633154	5066.922684033986	160.6114866440937
UPRE2	H2O2	1.0	2	0.1426666666666667	0.005354126134736336	388.3333333333333	82.39033114793676	2667.506528677822	529.5879072162721
UPRE2	H2O2	2.0	2	0.13933333333333334	0.004496912521077346	222.33333333333337	24.748737341529132	1610.6970657844151	209.78431537224242
UPRE2	H2O2	4.0	2	0.14366666666666666	0.0054924190177613585	156.66666666666666	6.459274125025367	1089.991146296932	4.038776317654693
NativeYap1	DTT	0.0	2	0.40900000000000003	0.0010274023338281636	1223.6666666666667	15.28797639395817	2991.5714322681147	30.45151220741239
NativeYap1	DTT	0.1	2	0.3983333333333334	0.006381396573025555	1334.3333333333333	20.89258241577618	3349.8878168064643	6.728101825627433
NativeYap1	DTT	0.2	2	0.39399999999999996	0.002094967514996091	1326.0	12.391753530294071	3365.489558775111	26.124706698724133
NativeYap1	DTT	0.5	2	0.408	0.004496912521077351	1532.3333333333333	25.61575036313921	3754.8626330136376	25.838555461459045
NativeYap1	DTT	1.0	2	0.405	0.0036817870057290905	1651.0	30.73904502239601	4075.311001040524	44.27354126456694
NativeYap1	DTT	2.0	2	0.2906666666666667	0.0008164965809277268	1230.6666666666667	10.036046144883064	4233.754209745483	25.57136311453677
NativeYap1	DTT	5.0	2	0.289	0.004326918328582394	939.3333333333334	30.301265100102118	3250.7163129013074	96.3505645646146
AlteredYap1	DTT	0.0	2	0.441	0.009646530752325187	1139.0	38.50613226775993	2580.7254681060626	40.47305575827257
AlteredYap1	DTT	0.1	2	0.417	0.006342099196813479	1176.3333333333333	12.509996003196804	2821.7500540766687	13.627648337264013
AlteredYap1	DTT	0.2	2	0.4036666666666667	0.004813176359397888	1177.6666666666667	20.793962799064754	2916.828818136811	24.757470029424603
AlteredYap1	DTT	0.5	2	0.429	0.005312459150169735	1347.6666666666667	17.721612668026452	3141.332602523175	8.818866558189162
AlteredYap1	DTT	1.0	2	0.393	0.005948856099191587	1322.3333333333333	26.391286440793294	3363.823262891327	20.21406401066651
AlteredYap1	DTT	2.0	2	0.26866666666666666	0.002549509756796395	1000.6666666666666	9.69822435065077	3725.641321578765	45.82570712369077
AlteredYap1	DTT	5.0	2	0.28833333333333333	0.0006236095644623241	806.6666666666666	11.848581724784147	2797.9832800069175	45.34292057582599
UPRE1	H2O2	0.0	3	0.4876666666666667	0.008816020770292124	2373.6666666666665	60.1031520711592	4865.013129119228	43.82433430239217
