construct,dose_mM,elapsed_min,signal
UPRE2,2.0,140.0,7434.618976233921
UPRE2,5.0,140.0,6492.32546733327
UPRE2,0.0,150.0,3500.5749920637068
UPRE2,0.1,150.0,3899.614830561122
UPRE2,0.2,150.0,4057.35104016354
UPRE2,0.5,150.0,5022.133245311794
UPRE2,1.0,150.0,7426.9794140255035
UPRE2,2.0,150.0,7865.088355595833
UPRE2,5.0,150.0,6798.814045704044
UPRE2,0.0,160.0,3594.5245028486147
UPRE2,0.1,160.0,4038.478614852312
UPRE2,0.2,160.0,4226.349167558096
UPRE2,0.5,160.0,5168.878355530703
UPRE2,1.0,160.0,7660.31007768861
UPRE2,2.0,160.0,8190.927786634425
UPRE2,5.0,160.0,7050.684909768922
UPRE2,0.0,170.0,3714.647350586814
UPRE2,0.1,170.0,4144.543842984436
UPRE2,0.2,170.0,4378.578949226226
UPRE2,0.5,170.0,5328.265504612403
UPRE2,1.0,170.0,8005.995524029836
UPRE2,2.0,170.0,8443.301823275227
UPRE2,5.0,170.0,7306.767637202419
UPRE2,0.0,180.0,3845.000087723463
UPRE2,0.1,180.0,4299.543384929892
UPRE2,0.2,180.0,4521.14956444198
UPRE2,0.5,180.0,5496.401806302783
UPRE2,1.0,180.0,8300.720023320879
UPRE2,2.0,180.0,8770.870110553138
UPRE2,5.0,180.0,7584.1135063885295
UPRE2,0.0,190.0,3985.332061247195
UPRE2,0.1,190.0,4451.990647834784
UPRE2,0.2,190.0,4698.316454652978
UPRE2,0.5,190.0,5719.149019828056
UPRE2,1.0,190.0,8539.39528590124
UPRE2,2.0,190.0,8975.002486368732
UPRE2,5.0,190.0,7716.290665303745
UPRE2,0.0,200.0,4100.547402059416
UPRE2,0.1,200.0,4603.2047782633235
UPRE2,0.2,200.0,4892.70214614693
UPRE2,0.5,200.0,5908.642105147599
UPRE2,1.0,200.0,8796.096191535567
UPRE2,2.0,200.0,9221.19264651234
UPRE2,5.0,200.0,7902.6721625674145
UPRE2,0.0,210.0,4250.239177058621
UPRE2,0.1,210.0,4759.361060072367
UPRE2,0.2,210.0,5085.254542822931
UPRE2,0.5,210.0,6083.326910725754
UPRE2,1.0,210.0,8998.05850488514
UPRE2,2.0,210.0,9396.78510389568
UPRE2,5.0,210.0,8067.451224871528
UPRE2,0.0,220.0,4396.046056900394
UPRE2,0.1,220.0,4938.24923055747
UPRE2,0.2,220.0,5282.062274446354
UPRE2,0.5,220.0,6357.930662680233
UPRE2,1.0,220.0,9275.761252327417
UPRE2,2.0,220.0,9560.274466642592
UPRE2,5.0,220.0,8317.892969995855
UPRE2,0.0,230.0,4565.040522765546
UPRE2,0.1,230.0,5122.459909233644
UPRE2,0.2,230.0,5445.355285820154
UPRE2,0.5,230.0,6566.88649339656
UPRE2,1.0,230.0,9439.233908816579
UPRE2,2.0,230.0,9699.75343243896
UPRE2,5.0,230.0,8529.330912528447
UPRE2,0.0,240.0,4673.3293592653245
UPRE2,0.1,240.0,5215.747971089338
UPRE2,0.2,240.0,5598.291978034355
UPRE2,0.5,240.0,6734.080040028012
UPRE2,1.0,240.0,9648.40048159581
UPRE2,2.0,240.0,9837.016150924435
UPRE2,5.0,240.0,8644.084410058147
NativeYap1,0.0,0.0,677.5871701337541
NativeYap1,0.1,0.0,732.0666217278958
NativeYap1,0.2,0.0,586.013903617297
NativeYap1,0.5,0.0,757.548309178744
NativeYap1,1.0,0.0,769.1544566544567
NativeYap1,2.0,0.0,361.33640684140124
NativeYap1,4.0,0.0,-129.65619651666165
NativeYap1,0.0,10.0,786.4923747276689
NativeYap1,0.1,10.0,943.2487922705315
NativeYap1,0.2,10.0,786.3596720739579
NativeYap1,0.5,10.0,993.061224489796
NativeYap1,1.0,10.0,778.0952380952381
NativeYap1,2.0,10.0,123.59752474530092
NativeYap1,4.0,10.0,-170.5647176411794
NativeYap1,0.0,20.0,850.6904015524706
NativeYap1,0.1,20.0,1209.8808648673878
NativeYap1,0.2,20.0,1090.537122452016
NativeYap1,0.5,20.0,1229.7926857675286
NativeYap1,1.0,20.0,860.7708288559352
NativeYap1,2.0,20.0,41.85643027542832
NativeYap1,4.0,20.0,-471.74940898345153
NativeYap1,0.0,30.0,1191.4413088278588
NativeYap1,0.1,30.0,1568.48937315039
NativeYap1,0.2,30.0,1716.2615709413737
NativeYap1,0.5,30.0,1529.7438999798349
NativeYap1,1.0,30.0,1137.8774062816615
NativeYap1,2.0,30.0,136.44490885870195
NativeYap1,4.0,30.0,-197.61570201851228
NativeYap1,0.0,40.0,1243.623962984905
NativeYap1,0.1,40.0,1927.6029432505118
NativeYap1,0.2,40.0,2012.2530160266008
NativeYap1,0.5,40.0,1977.7013925612548
NativeYap1,1.0,40.0,1344.0121448709608
NativeYap1,2.0,40.0,35.78311854173923
NativeYap1,4.0,40.0,-350.52007899934165
NativeYap1,0.0,50.0,1470.5413105413106
NativeYap1,0.1,50.0,2327.3842400810095
NativeYap1,0.2,50.0,2563.187300953205
NativeYap1,0.5,50.0,2148.516414141414
NativeYap1,1.0,50.0,1653.030303030303
NativeYap1,2.0,50.0,62.10317460317461
NativeYap1,4.0,50.0,-349.27765655528464
NativeYap1,0.0,60.0,1536.8497244793127
NativeYap1,0.1,60.0,2588.1640160121174
NativeYap1,0.2,60.0,2774.8943308355315
NativeYap1,0.5,60.0,2707.246376811594
NativeYap1,1.0,60.0,1859.5652811838438
NativeYap1,2.0,60.0,6.942889137737963
NativeYap1,4.0,60.0,-420.09276829011174
NativeYap1,0.0,70.0,1560.1160396001105
NativeYap1,0.1,70.0,2738.094602560252
NativeYap1,0.2,70.0,3177.450980392157
NativeYap1,0.5,70.0,2901.248097412481
NativeYap1,1.0,70.0,2209.92975734355
NativeYap1,2.0,70.0,30.756901871218492
NativeYap1,4.0,70.0,-535.9162647542893
NativeYap1,0.0,80.0,1653.5200713948943
NativeYap1,0.1,80.0,2744.450395183148
NativeYap1,0.2,80.0,3111.372549019608
NativeYap1,0.5,80.0,3168.6965811965815
NativeYap1,1.0,80.0,2446.165645302832
NativeYap1,2.0,80.0,-38.18582850840915
NativeYap1,4.0,80.0,-393.45598845598846
NativeYap1,0.0,90.0,1657.219571705553
NativeYap1,0.1,90.0,2916.1813240147544
NativeYap1,0.2,90.0,3447.2109304426376
NativeYap1,0.5,90.0,3498.039215686274
NativeYap1,1.0,90.0,2793.6334366077394
NativeYap1,2.0,90.0,8.22277501381979
NativeYap1,4.0,90.0,-524.5149911816578
