construct,dose_mM,elapsed_min,signal
NativeYap1,2.0,170.0,-542.4477613353405
NativeYap1,4.0,170.0,-583.7303151762053
NativeYap1,0.0,180.0,1457.7441873970881
NativeYap1,0.1,180.0,2151.229171602306
NativeYap1,0.2,180.0,2296.5681617636596
NativeYap1,0.5,180.0,3146.039055129284
NativeYap1,1.0,180.0,2341.7183069830276
NativeYap1,2.0,180.0,-605.8441253753754
NativeYap1,4.0,180.0,-699.3924252948251
NativeYap1,0.0,190.0,1515.7915245080628
NativeYap1,0.1,190.0,2204.971823943701
NativeYap1,0.2,190.0,2383.58909401095
NativeYap1,0.5,190.0,3137.3240641948537
NativeYap1,1.0,190.0,2490.7553561582954
NativeYap1,2.0,190.0,-536.962860686621
NativeYap1,4.0,190.0,-545.0626153163093
NativeYap1,0.0,200.0,1621.2912611225536
NativeYap1,0.1,200.0,2239.605842635874
NativeYap1,0.2,200.0,2450.865885957828
NativeYap1,0.5,200.0,3117.649424844547
NativeYap1,1.0,200.0,2659.343392548793
NativeYap1,2.0,200.0,-576.9083385914037
NativeYap1,4.0,200.0,-590.2475443876718
NativeYap1,0.0,210.0,1631.3260927926704
NativeYap1,0.1,210.0,2277.342897337703
NativeYap1,0.2,210.0,2488.829987364657
NativeYap1,0.5,210.0,3264.2636028462803
NativeYap1,1.0,210.0,2650.7294223679655
NativeYap1,2.0,210.0,-566.2542437953884
NativeYap1,4.0,210.0,-617.3975341868598
NativeYap1,0.0,220.0,1685.8070703356243
NativeYap1,0.1,220.0,2306.6512757702058
NativeYap1,0.2,220.0,2478.3419986437457
NativeYap1,0.5,220.0,3338.7578860069784
NativeYap1,1.0,220.0,2962.0316231466004
NativeYap1,2.0,220.0,-570.6910612346204
NativeYap1,4.0,220.0,-627.3633620961232
NativeYap1,0.0,230.0,1721.0128175918428
NativeYap1,0.1,230.0,2274.1498273677134
NativeYap1,0.2,230.0,2486.1974979949277
NativeYap1,0.5,230.0,3342.939670102711
NativeYap1,1.0,230.0,2982.4661084529507
NativeYap1,2.0,230.0,-643.0148968382897
NativeYap1,4.0,230.0,-772.3671890400159
NativeYap1,0.0,240.0,1810.5659557063263
NativeYap1,0.1,240.0,2349.489884097485
NativeYap1,0.2,240.0,2521.1187186551942
NativeYap1,0.5,240.0,3438.0501836833714
NativeYap1,1.0,240.0,3396.828591876901
NativeYap1,2.0,240.0,-574.5442971589337
NativeYap1,4.0,240.0,-697.4941657814014
AlteredYap1,0.0,0.0,644.442517773539
AlteredYap1,0.1,0.0,602.3924495171202
AlteredYap1,0.2,0.0,650.1682015937625
AlteredYap1,0.5,0.0,631.2793319122433
AlteredYap1,1.0,0.0,500.6503390065034
AlteredYap1,2.0,0.0,166.03535353535352
AlteredYap1,4.0,0.0,277.1723211533223
AlteredYap1,0.0,10.0,724.0635287246469
AlteredYap1,0.1,10.0,662.9223744292236
AlteredYap1,0.2,10.0,794.6592254354811
AlteredYap1,0.5,10.0,762.2497238331953
AlteredYap1,1.0,10.0,555.6551910598413
AlteredYap1,2.0,10.0,175.72150942182773
AlteredYap1,4.0,10.0,133.84847703827066
AlteredYap1,0.0,20.0,717.320470227447
AlteredYap1,0.1,20.0,781.6077441077441
AlteredYap1,0.2,20.0,831.483960533492
AlteredYap1,0.5,20.0,826.4547042379799
AlteredYap1,1.0,20.0,614.6378418329638
AlteredYap1,2.0,20.0,-4.4313925475231555
AlteredYap1,4.0,20.0,-31.838609280425818
AlteredYap1,0.0,30.0,919.2889893850888
AlteredYap1,0.1,30.0,1090.6652767750822
AlteredYap1,0.2,30.0,1092.5492927581097
AlteredYap1,0.5,30.0,1099.1296342487658
AlteredYap1,1.0,30.0,749.7987940570838
AlteredYap1,2.0,30.0,-22.015823873409
AlteredYap1,4.0,30.0,8.502605037644841
AlteredYap1,0.0,40.0,1044.9890611180933
AlteredYap1,0.1,40.0,1191.8917435221783
AlteredYap1,0.2,40.0,1258.453158643845
AlteredYap1,0.5,40.0,1256.8322370007952
AlteredYap1,1.0,40.0,961.7418105840783
AlteredYap1,2.0,40.0,46.648968945751015
AlteredYap1,4.0,40.0,-46.73220043150468
AlteredYap1,0.0,50.0,1022.4762524662856
AlteredYap1,0.1,50.0,1206.504543376581
AlteredYap1,0.2,50.0,1462.0945793099283
AlteredYap1,0.5,50.0,1424.599093595376
AlteredYap1,1.0,50.0,762.5356300786676
AlteredYap1,2.0,50.0,-91.46525869178127
AlteredYap1,4.0,50.0,-157.56059793937226
AlteredYap1,0.0,60.0,1000.102678045414
AlteredYap1,0.1,60.0,1312.715691017578
AlteredYap1,0.2,60.0,1609.5874721564905
AlteredYap1,0.5,60.0,1512.9401865190146
AlteredYap1,1.0,60.0,937.9863019580899
AlteredYap1,2.0,60.0,-109.3717750257998
AlteredYap1,4.0,60.0,-168.87432353371364
AlteredYap1,0.0,70.0,1112.911668487437
AlteredYap1,0.1,70.0,1480.0037960657255
AlteredYap1,0.2,70.0,1739.1985380135939
AlteredYap1,0.5,70.0,1619.619039148625
AlteredYap1,1.0,70.0,1251.0765065853375
AlteredYap1,2.0,70.0,-54.13658329413016
AlteredYap1,4.0,70.0,-92.97732385942783
AlteredYap1,0.0,80.0,896.526030486967
AlteredYap1,0.1,80.0,1618.76527166911
AlteredYap1,0.2,80.0,1642.997817392926
AlteredYap1,0.5,80.0,1679.9022212943107
AlteredYap1,1.0,80.0,1412.9151334340013
AlteredYap1,2.0,80.0,-293.6389124798677
AlteredYap1,4.0,80.0,-330.6944444444445
AlteredYap1,0.0,90.0,1010.2684563758389
AlteredYap1,0.1,90.0,1479.5028141047135
AlteredYap1,0.2,90.0,1786.5017313848903
AlteredYap1,0.5,90.0,1919.2650111785372
AlteredYap1,1.0,90.0,1641.464867170461
AlteredYap1,2.0,90.0,-153.19715063901108
AlteredYap1,4.0,90.0,-267.1009015836602
AlteredYap1,0.0,100.0,1118.6963736153418
AlteredYap1,0.1,100.0,1534.3351036294923
AlteredYap1,0.2,100.0,1879.1989720232714
AlteredYap1,0.5,100.0,2051.500741795767
AlteredYap1,1.0,100.0,1740.6317172859542
AlteredYap1,2.0,100.0,-179.8777764033207
AlteredYap1,4.0,100.0,-216.98172096200506
AlteredYap1,0.0,110.0,1119.7814394262784
AlteredYap1,0.1,110.0,1529.4149986621796
AlteredYap1,0.2,110.0,1853.6227605053518
